Place ID,الاسم بالعربي,الاسم بالإنجليزي,التصنيف,Latitude,Longitude,مستوى السعر,Tags,Description,التقييم,عدد التقييمات,العنوان,رابط خرائط جوجل,رقم الهاتف,الموقع الإلكتروني,الأحد,الاثنين,الثلاثاء,الأربعاء,الخميس,الجمعة,السبت
ChIJbY9pHYihHBURWQg36BlxV8k,حدائق الحسين,AlHussein Public Parks,حدائق,31.986885,35.828058,1,جلسات خارجية، أطفال، طبيعة، عائلي,حدائق الحسين هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في XRQH+RMQ Al Hussein Gardens، شارع الملك عبدالله الثاني A208، عمّان.,4.3,23393,XRQH+RMQ Al Hussein Gardens، شارع الملك عبدالله الثاني A208، عمّان,https://maps.google.com/?cid=14508189080681384025,(06) 541 1748,,6:00 ص – 11:00 م,6:00 ص – 11:00 م,مغلق,5:00–11:00 م,6:00 ص – 11:00 م,6:00 ص – 11:00 م,5:00–11:00 م
ChIJm6cM_GKgHBURqrFKjQwwrBk,حديقة زهران,Zahran Park,"حدائق, شوارع ومناطق سياحية",31.9544567,35.9020094,1,جلسات خارجية، أطفال، طبيعة، عائلي,"حديقة زهران هو معلم مميز في عمان ضمن تصنيف (حدائق, شوارع ومناطق سياحية) يقع في شارع مثقال الفايز 52، عمّان.",4.2,2238,شارع مثقال الفايز 52، عمّان,https://maps.google.com/?cid=1849906377410654634,,,8:00 ص – 12:00 ص,8:00 ص – 12:00 ص,8:00 ص – 12:00 ص,8:00 ص – 12:00 ص,8:00 ص – 12:00 ص,8:00 ص – 12:00 ص,8:00 ص – 12:00 ص
ChIJYey6Qk1fGxURGzf8maQMC3E,حدائق الملك عبدالله الثاني,King Abdullah II Park,حدائق,31.9058158,35.9268316,1,جلسات خارجية، أطفال، طبيعة، عائلي,حدائق الملك عبدالله الثاني هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في المقابلين، عمّان.,4.2,6053,المقابلين، عمّان,https://maps.google.com/?cid=8145618252127287067,,,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م
ChIJ9TJQ-uFfGxUR2NJiNKo2Uck,حديقة الأمير الحسين بن عبدالله,Prince AlHussein bin Abdullah Park,حدائق,31.9817769,35.9319667,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة الأمير الحسين بن عبدالله هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في XWJJ+PQ8، عمّان.,3.9,1073,XWJJ+PQ8، عمّان,https://maps.google.com/?cid=14506435979388310232,,,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص
ChIJg9mS-S6gHBUR_bO6RuZ44bQ,الحديقة الألفية,The Millennium Park,حدائق,31.9920919,35.8791984,1,جلسات خارجية، أطفال، طبيعة، عائلي,الحديقة الألفية هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في XVRH+RMP، عمّان.,4.1,1748,XVRH+RMP، عمّان,https://maps.google.com/?cid=13033831727011378173,,https://www.trfihi-parks.com/ar/park-details/2810-%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D9%82%D8%A9-%D8%A7%D9%84%D8%A3%D9%84%D9%81%D9%8A%D8%A9,8:00 ص – 10:00 م,مغلق,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م
ChIJ4bIF5UGgHBURXXijrRj9LFA,حديقة الأمير هاشم للطيور,Prince Hashem Bird Garden,حدائق,31.9712454,35.8927011,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة الأمير هاشم للطيور هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في ش. أحمد عرابي، عمّان.,4.1,5555,ش. أحمد عرابي، عمّان,https://maps.google.com/?cid=5777270704443717725,(06) 566 4436,,8:30 ص – 7:30 م,8:30 ص – 7:30 م,مغلق,8:30 ص – 7:30 م,8:30 ص – 7:30 م,8:30 ص – 7:30 م,8:30 ص – 7:30 م
ChIJ0026L-CgHBUR2CMQ_JdYpl8,حديقة شهداء عمان,Amman Martyrs Park,حدائق,31.9440968,35.8723635,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة شهداء عمان هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في WVVC+JWQ، عمّان.,4.3,1533,WVVC+JWQ، عمّان,https://maps.google.com/?cid=6892293689529344984,(06) 552 8783,,7:00 ص – 11:00 م,7:00 ص – 11:00 م,7:00 ص – 11:00 م,7:00 ص – 11:00 م,7:00 ص – 11:00 م,7:00 ص – 11:30 م,7:00 ص – 11:00 م
ChIJ3dQ4b1aeHBURUuz4ebgJWt8,حديقة الجبيهه,Al Jubaiha Park,حدائق,32.0463523,35.8735967,1,جلسات خارجية، أطفال، طبيعة، عائلي,"حديقة الجبيهه هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في Nusseir,، 2VWF+GCX، عمّان.",4.1,3954,"Nusseir,، 2VWF+GCX، عمّان",https://maps.google.com/?cid=16094186906286877778,07 7807 7620,http://www.ammancity.gov.jo/,7:00 ص – 10:00 م,7:00 ص – 10:00 م,7:00 ص – 10:00 م,7:00 ص – 10:00 م,7:00 ص – 10:00 م,7:00 ص – 10:00 م,7:00 ص – 10:00 م
ChIJtdCGvvifHBURrISwog_Q36E,حديقة صرح الشهيد المرورية,Martyer's Memorial Traffic Park,حدائق,31.99088,35.9081249,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة صرح الشهيد المرورية هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في XWR5+965، عمّان.,4.2,2341,XWR5+965، عمّان,https://maps.google.com/?cid=11664270325485438124,(06) 551 2918,https://dellooni.com/ar-jo/u/3829/%D8%AD%D8%AF%D9%8A%D9%82%D8%A9-%D8%B5%D8%B1%D8%AD-%D8%A7%D9%84%D8%B4%D9%87%D9%8A%D8%AF-%D8%A7%D9%84%D9%85%D8%B1%D9%88%D8%B1%D9%8A%D8%A9,9:00 ص – 10:00 م,9:00 ص – 10:00 م,9:00 ص – 10:00 م,مغلق,9:00 ص – 10:00 م,9:00 ص – 10:00 م,9:00 ص – 10:00 م
ChIJYa13IrCnHBURLxeYBd1HBok,متنزه عمّان القومي,Amman National Park,"حدائق, شوارع ومناطق سياحية",31.8687916,35.8807368,1,جلسات خارجية، أطفال، طبيعة، عائلي,"متنزه عمّان القومي هو معلم مميز في عمان ضمن تصنيف (حدائق, شوارع ومناطق سياحية) يقع في VV9J+G79, 15, عمّان.",4.0,10851,"VV9J+G79, 15, عمّان",https://maps.google.com/?cid=9873658247663589167,,,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة
